country_code,country_name,AG.LND.ARBL.HA.PC,NE.GDI.FTOT.CD,NV.IND.TOTL.ZS,NY.GDP.PCAP.CD,SE.XPD.TOTL.GD.ZS,SL.TLF.ADVN.ZS,SP.POP.TOTL
ABW,Aruba,0.0183145151689972,,11.6288104514912,30645.8906024548,4.43503686776957,,109203.0
AFG,Afghanistan,0.20572630777464,,14.0581123697768,496.6025042585,,,37856121.0
AGO,Angola,0.165000639987507,19852988388.3313,42.2251045134162,2493.67884440177,2.07306438181603,91.492,32375632.0
ALB,Albania,0.237557349654432,3834690873.03143,22.9655210859374,6069.43903131027,3.87018990516663,75.465,2567801.0
AND,Andorra,0.0103446923137275,,11.6998176283166,41257.816459345,3.15060997009277,,76474.0
ARE,United Arab Emirates,0.00528277956781781,,43.4669683746299,45938.6073581994,3.86020994186401,,9445785.0
ARG,Argentina,0.908313379900793,63576894130.6922,23.1578477391434,9955.97478680428,4.7716498374939,80.407,44973465.0
ARM,Armenia,0.150143459915612,2153972300.96592,24.9716084573435,4597.22887399548,2.15984239839771,71.007,2962500.0
ASM,American Samoa,0.0189209105937183,,,12886.1359517218,,,50209.0
ATG,Antigua and Barbuda,0.0437809202749442,,21.0807459545502,18896.3721832248,3.35725653382563,,91364.0
AUS,Australia,1.20675784392599,326122918676.679,25.2555129054284,55194.7585097428,,79.215,25334826.0
AUT,Austria,0.149272741195867,111100792408.627,25.5363771006496,49885.9947355204,5.23678016662598,76.606,8879920.0
AZE,Azerbaijan,0.209092261261978,10179000000.0,48.8232665251868,4805.75371765917,3.1764600276947,,10024283.0
BDI,Burundi,0.0992220857918543,,17.5450876204546,234.31061590725,5.34668445378401,,12255336.0
BEL,Belgium,0.0746181123128424,130055287018.823,19.2417105698694,46716.6227467964,6.32381010055542,75.138,11488980.0
BEN,Benin,0.277995639894066,3622855985.2996,16.3125612015902,1130.82135339795,2.73204741460628,80.269,12726755.0
BFA,Burkina Faso,0.359217366779582,3020607158.30921,27.4259133812459,764.853077774946,5.45615632520251,82.878,20961952.0
BGD,Bangladesh,0.0476432869429288,113144827821.096,32.8525491977868,2129.79896954606,1.13094997406006,,164913055.0
BGR,Bulgaria,0.525335339562194,12823852546.1895,21.5624567722623,10353.7204584127,4.21429014205933,75.701,6616726.0
BHR,Bahrain,0.00141532704838262,11141223404.2553,40.6177669647554,27259.7438599327,2.11146982812491,,1483756.0
BHS,"Bahamas, The",0.0202698422752898,3213800000.0,12.9893801310537,33640.3369861278,2.62573176503127,88.098,394675.0
BIH,Bosnia and Herzegovina,0.303389624313973,4724092860.9124,23.2037923257609,6122.37541352353,4.04449987411499,74.597,3345533.0
BLR,Belarus,0.606491164635015,17412991691.7768,31.737128716913,6837.77339645635,4.97948980331421,83.395,9419758.0
BLZ,Belize,0.238447602435276,399013500.0,14.0497462353602,6171.61449761423,5.96377992630005,85.427,385829.0
BMU,Bermuda,0.00467967616640928,1094851000.0,6.37065036340846,115798.040775578,1.92679827239971,,64107.0
BOL,Bolivia,0.449958179774022,11240940043.4153,30.4627271604529,4203.15492855788,8.09103965759277,82.05,11671386.0
BRA,Brazil,0.268558852432994,289819590854.458,18.7546275724707,9029.83304401079,5.96346998214722,83.399,207455459.0
BRB,Barbados,0.0248926947053238,,12.5530481916957,21912.1501242857,3.72228002548218,79.908,281207.0
